summary,ARCHIVED_RECORD_NUMBER,SEISMIC_TIME_SOLS,ORIGINAL_FILE_NUMBER,ORIGINAL_RECORD_NUMBER,DATA_ACQUISITION_SOL,DATA_ACQUISITION_HOUR,DATA_ACQUSITION_MINUTE,DATA_ACQUISITION_SECOND,MEDIAN_X_AXIS,FIRST_X_AXIS,MAXIMUM_X_AXIS,MINIMUM_X_AXIS,RMS_X_AXIS_X100,RMS_Y_AXIS_X100,RMS_Z_AXIS_X100,MEAN_X_AXIS_CROSSINGS,MEAN_Y_AXIS_CROSSINGS,MEAN_Z_AXIS_CROSSINGS,METEO_TIME_SOLS,WINDSPEED,PRESSURE,WIND_DIRECTION,AIR_TEMPERATURE,WIND_SEISMIC_INTERVAL,prediction
min,87.0,101.0,1.0,1.0,0.0,0.0,0.0,1.0,-3.0,-126.0,0.0,-128.0,0.0,0.0,42.0,1.0,0.0,0.0,1.2658,0.0,6.87,0.1,178.2,0.0,2
max,265553.0,1038.0,238450.0,539.0,24.0,59.0,60.0,51.0,28.0,115.0,127.0,21.0,2836.0,4966.0,5843.0,31.0,31.0,31.0,539.8592,15.07,9.04,360.0,261.9,608642.0,2
