summary,ARCHIVED_RECORD_NUMBER,SEISMIC_TIME_SOLS,ORIGINAL_FILE_NUMBER,ORIGINAL_RECORD_NUMBER,DATA_ACQUISITION_SOL,DATA_ACQUISITION_HOUR,DATA_ACQUSITION_MINUTE,DATA_ACQUISITION_SECOND,MEDIAN_X_AXIS,FIRST_X_AXIS,MAXIMUM_X_AXIS,MINIMUM_X_AXIS,RMS_X_AXIS_X100,RMS_Y_AXIS_X100,RMS_Z_AXIS_X100,MEAN_X_AXIS_CROSSINGS,MEAN_Y_AXIS_CROSSINGS,MEAN_Z_AXIS_CROSSINGS,METEO_TIME_SOLS,WINDSPEED,PRESSURE,WIND_DIRECTION,AIR_TEMPERATURE,WIND_SEISMIC_INTERVAL,prediction
min,2.0,101.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-127.0,1.0,-128.0,79.0,61.0,50.0,0.0,0.0,12.0,0.5101,0.01,3.784,0.0,96.2,0.0,2
max,273420.0,1049.0,238853.0,560.0,24.0,59.0,60.0,51.0,20.0,118.0,127.0,11.0,2237.0,3620.0,3799.0,30.0,31.0,31.0,560.2787,14.42,10.43,359.8,244.7,1446240.0,2
